parte_proyecto_inclusion,sexo,edad,departamento,ciudad,unidad_educativa,nivel_educacion_maximo,anios_experiencia,tiempo_ue_actual,tiempo_ue_actual_num,area_imparte,paso_curso_tec,curso,pc_casa,laptop_escritorio,num_pc,tablet,num_tablet,origen_pc,pc_llenado,pc_juegos,pc_estudio,pc_musica,pc_redes,pc_nada,pc_planificar,pc_clases,pc_videos,pc_internet,tiene_celular,tiene_smartphone,cel_llamadas,cel_musica,cel_juegos,cel_fotos,cel_redes,cel_text,cel_videos,cel_internet,internet_casa,internet_movil,internet_colegio,usa_facebook,usa_youtube,usa_whatsapp,usa_messenger,usa_instagram,usa_twiter,usa_linkedin,usa_skype,dias_uso_internet,so,conoce_soft_libre,existe_laboratorio,sabe_inclusion_digital
Sí,Femenino,55,La Paz,El Alto,PRIMAVERA B,licenciatura,30,Más de un año,17,Comunidad y Sociedad,Sí,Free - Mind - Inkscape,Sí,Computadora de escritorio,2,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,7,Windows,No,Sí,Sí
Sí,Masculino,38,La Paz,El Alto,1RO. DE MAYO TARDE,normalista,10,Más de un año,2,Comunidad y Sociedad,Sí,"Word, execel, sozi,freemind,inkscape",Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,No,Sí
Sí,Femenino,59,Oruro,Oruro,PANTALEON DALENCE 1,licenciatura,25,Más de un año,21,Comunidad y Sociedad,No,,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,No,No,No,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,68,La Paz,El Alto,1RO. DE MAYO TARDE,normalista,25,Más de un año,2,Comunidad y Sociedad,Sí,"capacitacion de manejo de kuass,word,execel,talleres,paquetes de musica, edicion de videos y musica",Sí,Computadora de escritorio,3,Sí,1,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,7,Windows,Sí,No,Sí
Sí,Masculino,29,La Paz,La Paz,CRISTIANO VIDA NUEVA,tecnico,7,Más de un año,4,"Ciencia, Tecnología y Producción",Sí,Tic en la educación informática y herramientas digitales,Sí,Computadora portátil,3,Sí,2,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,39,La Paz,El Alto,1RO. DE MAYO TARDE,maestria,8,Menos de un año,NA,Comunidad y Sociedad,Sí,Manejo de kuass inkscape y sozi,Sí,Computadora de escritorio,1,Sí,1,Por cuenta propia,Sí,No,Sí,No,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Sí,No,No,No,No,No,No,7,Windows,Sí,No,Sí
Sí,Masculino,55,La Paz,La Paz,ALFREDO VARGAS B,normalista,5,Menos de un año,NA,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,Sí,2,Dotada por el ministerio,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,No,Sí,No,No,No,No,Sí,No,No,No,No,7,Windows,Sí,Sí,No
Sí,Femenino,42,La Paz,El Alto,VILLA ALEMANIA,maestria,11,Más de un año,9,"Ciencia, Tecnología y Producción",Sí,DIPLOMADO EN  INFORMATICA EDUCATIVA,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,No,7,Windows,Sí,Sí,No
Sí,Masculino,30,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,11,Más de un año,6,"Ciencia, Tecnología y Producción",Sí,manejo de Kuuas,Sí,Computadora de escritorio,2,No,NA,Por cuenta propia,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,45,Cochabamba,Cochabamba,MERCEDES CANDIA DE OVANDO,licenciatura,12,Más de un año,2,"Vida, Tierra y Territorio",No,,Sí,Computadora de escritorio,1,No,NA,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,4,Windows,Sí,No,No
Sí,Femenino,34,La Paz,El Alto,ATIPIRIS MAÑANA,licenciatura,8,Más de un año,5,Comunidad y Sociedad,Sí,Quipus ,Sí,Computadora portátil,3,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,7,Windows,No,Sí,No
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,20,Más de un año,20,"Ciencia, Tecnología y Producción",Sí,profocom,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,2,Windows,Sí,Sí,Sí
Sí,Femenino,34,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,8,Más de un año,3,Cosmos y Pensamiento,Sí,profocom,Sí,Computadora de escritorio,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,5,Windows,Sí,Sí,No
Sí,Masculino,59,La Paz,El Alto,BAUTISTA SAAVEDRA,normalista,32,Más de un año,3,Comunidad y Sociedad,Sí,Manejo de computadoras,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,7,Windows,No,No,Sí
Sí,Masculino,47,La Paz,El Alto,BAUTISTA SAAVEDRA,normalista,22,Más de un año,13,Comunidad y Sociedad,Sí,,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,No,No,1,Windows,No,Sí,Sí
Sí,Masculino,62,La Paz,El Alto,BAUTISTA SAAVEDRA,normalista,38,Más de un año,8,Comunidad y Sociedad,Sí,manejo de tics,Sí,Computadora de escritorio,1,Sí,1,Por cuenta propia,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,Sí,Sí,Sí
No,Masculino,35,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,14,Más de un año,10,"Ciencia, Tecnología y Producción",Sí,Curso de Posgrado de Tecnología s en el aula y cursos ofertados por Unefco.,Sí,Computadora portátil,3,Sí,2,Por cuenta propia,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,Sí,No
Sí,Masculino,33,La Paz,El Alto,BAUTISTA SAAVEDRA,especialidad,8,Más de un año,2,Comunidad y Sociedad,Sí,TICs como isntrumento tecnologico,Sí,Computadora portátil,3,Sí,1,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,35,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,6,Más de un año,6,Comunidad y Sociedad,Sí,Clases de capacitacion de Kuas y Profocom.,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,7,Windows,Sí,Sí,Sí
Sí,Femenino,30,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,7,Más de un año,7,Cosmos y Pensamiento,Sí,capacitacion sobre el manejo de diferentes programas en los kuas.,Sí,Computadora de escritorio,1,No,NA,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,Sí,5,Linux,Sí,No,Sí
Sí,Masculino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,30,Más de un año,6,Comunidad y Sociedad,No,,Sí,Computadora de escritorio,1,No,NA,Por cuenta propia,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,5,Windows,No,No,No
Sí,Masculino,50,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,22,Más de un año,7,Cosmos y Pensamiento,Sí,capacitacion de herramientas de softwar libre,Sí,Computadora portátil,1,Sí,2,Por cuenta propia,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,7,Windows,Sí,No,Sí
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,normalista,31,Más de un año,6,"Ciencia, Tecnología y Producción",Sí,la capcitacion de la AGETIC que nos dieron recientemente,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,33,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,7,Más de un año,9,Comunidad y Sociedad,Sí,manejo de programas y herramientas de soffwart,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,No,Sí,No,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,NA,Windows,Sí,No,No
Sí,Femenino,38,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,9,Más de un año,5,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,7,Windows,No,Sí,No
Sí,Masculino,48,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,10,Más de un año,10,"Vida, Tierra y Territorio",No,,Sí,Computadora de escritorio,1,Sí,1,Por cuenta propia,Sí,No,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,6,Windows,No,Sí,No
Sí,Femenino,55,La Paz,El Alto,BAUTISTA SAAVEDRA,especialidad,31,Más de un año,9,Comunidad y Sociedad,No,,Sí,Computadora portátil,3,Sí,1,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,31,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,7,Más de un año,7,Comunidad y Sociedad,No,,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,No,No,No,No,No,No,No,Sí,No,No,Sí,Sí,Sí,No,No,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,No,No
Sí,Masculino,59,La Paz,El Alto,BAUTISTA SAAVEDRA,normalista,45,Más de un año,15,"Vida, Tierra y Territorio",No,,Sí,Computadora de escritorio,2,Sí,1,Por cuenta propia,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,No,No,Sí
Sí,Masculino,38,Santa Cruz,Santa Cruz de la Sierra,NACIONAL AYACUCHO,licenciatura,15,Más de un año,2,Comunidad y Sociedad,Sí,Tic en Biogeografia-UNEFCO,Sí,Computadora portátil,4,Sí,1,Por cuenta propia,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,7,Windows,Sí,Sí,Sí
Sí,Femenino,35,La Paz,El Alto,6 DE JUNIO C,licenciatura,10,Más de un año,3,Comunidad y Sociedad,No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,No,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No,No,No,4,Windows,No,No,Sí
Sí,Masculino,32,La Paz,El Alto,BAUTISTA SAAVEDRA,licenciatura,7,Más de un año,7,"Ciencia, Tecnología y Producción",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,Sí,No,No,No,Sí,No,No,No,No,No,5,Windows,No,Sí,No
Sí,Masculino,46,La Paz,La Paz,SAN SIMON DE AYACUCHO A,normalista,22,Más de un año,10,Comunidad y Sociedad,Sí,Alfabetización en medios audiovisuales usando Power Director ,Sí,Computadora portátil,2,Sí,2,Por cuenta propia,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,Sí,Sí
Sí,Femenino,55,La Paz,La Paz,CRISTIANO VIDA NUEVA,licenciatura,31,Más de un año,5,Comunidad y Sociedad,Sí,Tic's organizada por GAMLP,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,Sí,No
Sí,Masculino,48,La Paz,La Paz,MARIEN GARTEN C,licenciatura,20,Más de un año,2,Comunidad y Sociedad,Sí,,Sí,Computadora portátil,1,Sí,1,Dotada por el ministerio,No,No,No,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,6,Windows,Sí,No,Sí
Sí,Femenino,43,La Paz,El Alto,MARTIN CARDENAS HERMOSA B,licenciatura,25,Más de un año,7,Cosmos y Pensamiento,Sí,"uso de las TICs, Fundación LA PAZ",Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,6,Windows,Sí,Sí,Sí
Sí,Masculino,37,La Paz,La Paz,MARIEN GARTEN C,licenciatura,11,Más de un año,7,Comunidad y Sociedad,Sí,Audaciti,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,No,Sí,Sí,No,No,Sí,Sí,No,No,No,No,No,7,Windows,No,Sí,Sí
Sí,Masculino,58,La Paz,La Paz,MARIEN GARTEN C,maestria,30,Más de un año,2,Comunidad y Sociedad,Sí,,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,No,No,7,Windows,No,No,No
Sí,Femenino,50,La Paz,La Paz,CRISTIANO VIDA NUEVA,normalista,20,Más de un año,3,"Ciencia, Tecnología y Producción",Sí,,Sí,Computadora de escritorio,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,44,La Paz,El Alto,MARTIN CARDENAS HERMOSA B,licenciatura,20,Más de un año,2,"Vida, Tierra y Territorio",Sí,Tics,Sí,Computadora portátil,2,Sí,1,Por cuenta propia,No,No,No,No,No,No,Sí,No,Sí,No,Sí,Sí,No,No,No,No,Sí,No,No,No,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,No,7,Windows,Sí,Sí,Sí
Sí,Masculino,50,La Paz,El Alto,VILLA ALEMANIA,especialidad,26,Más de un año,15,"Vida, Tierra y Territorio",No,,Sí,Computadora portátil,2,No,NA,Por cuenta propia,No,No,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Sí,Sí,No,No,Sí,No,Sí,No,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Masculino,59,La Paz,El Alto,DR. CARLOS MONTENEGRO,especialidad,33,Más de un año,14,"Ciencia, Tecnología y Producción",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,Sí,No,No,No,Sí,No,No,No,No,No,7,Windows,No,No,Sí
Sí,Masculino,36,La Paz,El Alto,DR. CARLOS MONTENEGRO,licenciatura,9,Más de un año,1,Cosmos y Pensamiento,Sí,tic en cosmovisiones filosofía y sicológica,Sí,Computadora portátil,2,No,NA,Dotada por el ministerio,Sí,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,7,Windows,Sí,No,Sí
Sí,Masculino,37,La Paz,El Alto,DR. CARLOS MONTENEGRO,licenciatura,10,Más de un año,6,Comunidad y Sociedad,Sí,Unefco,Sí,Computadora de escritorio,2,No,NA,Por cuenta propia,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,5,Windows,Sí,Sí,Sí
Sí,Femenino,64,Santa Cruz,Santa Cruz de la Sierra,ARZOBISPO DANIEL RIVERO,licenciatura,36,Más de un año,2,"Vida, Tierra y Territorio",Sí,sozi y inkscape,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,Sí,No,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,No,7,Windows,Sí,No,Sí
Sí,Femenino,29,Santa Cruz,Santa Cruz de la Sierra,ARZOBISPO DANIEL RIVERO,licenciatura,9,Más de un año,5,"Ciencia, Tecnología y Producción",Sí,1ro y 2do de secundaria,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,No,No,No,5,Windows,No,Sí,Sí
Sí,Masculino,54,La Paz,La Paz,SAN SIMON DE AYACUCHO A,licenciatura,26,Más de un año,19,"Ciencia, Tecnología y Producción",Sí,Robotica,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,No,No,No,No,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,No,No,No,No,Sí,Sí,No,No,Sí,No,No,No,No,No,3,Windows,No,Sí,No
No,Masculino,52,La Paz,La Paz,ELISA DE BALLIVIAN,licenciatura,33,Más de un año,2,"Ciencia, Tecnología y Producción",No,,Sí,Computadora portátil,1,No,NA,Dotada por el ministerio,No,No,Sí,No,No,No,Sí,No,No,Sí,Sí,Sí,Sí,No,No,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,No,No,2,Linux,Sí,No,Sí
